utc_time,perth_time,lot,zone,utilization
2026-07-08T15:27:16Z,2026-07-08 23:27:16,STAFF ONLY - PC3,BEN-PC3-LZ-White,0
2026-07-08T15:27:16Z,2026-07-08 23:27:16,PC4,BEN-PC4-LZ-Equipark,0
2026-07-08T15:27:16Z,2026-07-08 23:27:16,PD1,BEN-PD1-LZ-Yellow,0.99
2026-07-08T15:27:16Z,2026-07-08 23:27:16,PD4,BEN-PD4-LZ-Blue,2.78
2026-07-08T15:27:16Z,2026-07-08 23:27:16,PE1,BEN-PE1-LZ-Yellow,8.01
2026-07-08T15:27:16Z,2026-07-08 23:27:16,PE2,BEN-PE2-LZ-Blue,17.39
2026-07-08T15:27:16Z,2026-07-08 23:27:16,PF1,BEN-PF1-LZ-Yellow,0
2026-07-08T15:27:16Z,2026-07-08 23:27:16,PH1,BEN-PH1-LZ-Yellow,1.91
2026-07-08T15:27:16Z,2026-07-08 23:27:16,PH2,BEN-PH2-LZ-Green,34
2026-07-08T15:27:16Z,2026-07-08 23:27:16,PH3,BEN-PH3-LZ-Equipark,0
2026-07-08T15:27:16Z,2026-07-08 23:27:16,PH4,BEN-PH4-LZ-Green,0.65
2026-07-08T15:27:16Z,2026-07-08 23:27:16,PI1,BEN-PI1-LZ-Yellow,1.96
2026-07-08T15:27:16Z,2026-07-08 23:27:16,PI2,BEN-PI2-LZ-Yellow,4.81
2026-07-08T15:27:16Z,2026-07-08 23:27:16,PI3,BEN-PI3-LZ-Yellow,0
2026-07-08T15:27:16Z,2026-07-08 23:27:16,STAFF ONLY - PJ1,BEN-PJ1-LZ-White,1.05
2026-07-08T15:27:16Z,2026-07-08 23:27:16,PJ1,BEN-PJ1-LZ-Yellow,24.64
2026-07-08T15:27:16Z,2026-07-08 23:27:16,PJ2,BEN-PJ2-LZ-Green,0
2026-07-08T15:27:16Z,2026-07-08 23:27:16,PL1,BEN-PL1-LZ-Green,13.42
2026-07-08T15:27:16Z,2026-07-08 23:27:16,PL2,BEN-PL2-LZ-Green,6.45
2026-07-08T15:27:16Z,2026-07-08 23:27:16,STAFF ONLY - PL2,BEN-PL2-LZ-White,0
